ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_7f1N76U8aKWZWyv,75,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_648Z8k4ntpFt0LO,76,Same,,,,,,,,,,None,,,,,,,,,,,I enjoyed this,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_3ptce2vNcdcNPRy,77,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_3cuCnWSworjIFvt,78,How does it protect my data? What is the likelihood of my data being hacked?,,Risk:Hacking,,Gen:How?,,,,,,Same. Does it access my location?,,,,Gen:Answered,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_5KqlACpbJWUn9SP,79,It is a new technology; I will have some reservations.,Distrust:TEE,,,,,Use:New,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_5Sw7vrxWlSGxi8N,80,n/a,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_5VlpUMyQEgZbaRZ,81,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_6OjGbDFuN2xQ0Pi,82,N/a,,,,,,,,,,N/a,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_6cQlgLqUGVFHinf,83,Same,,,,,,,,,,Does the data get tied to me personally?,,,,,,,Scenario:Data,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_3QXnE2tZtGEp8bk,84,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_510LHSfC0YtUuXL,85,None,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,No Prevents
R_5d3TmRUPjzqqElr,86,Same,,,,,,,,,,Does the TEE prevent the sale of information from company to company?,,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_5EvuDLrsD73Rq6Z,87,How does it work and how it it guaranteed that it can't be accessed?,,,,Gen:How?,,,,,Guarantee:General,"How can you trust ""the small team of developers"" who have access to the data? How can you ensure that no one on that team can steal the data or even give access to hackers through human error?",,Risk:Hacking,Risk:People,,,,Scenario:People,,,,"Whether companies use TEEs or not, I feel that they are not likely to let us know about all the data they are collecting, or it is buried in the small print of the privacy docs (especially Google).",,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_5qPCUsVzugU3cEF,88,Same,,,,,,,,,,N/a,,,,,,,,,,,N/a,,Medical-Simple,IoT-Simple,Trust,Technical,No Prevents
R_3dmB1HymKNEVoc1,89,Same,,,,,,,,,,How can anyone believe privacy and information security even exists in the world in which we live?,Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
